,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE
987,0,0,1,1,0,1,2,25,1,2,2,0,1,4,0,8,2,0,1,0,0.5,0,3,3,1
799,,,,,,,,,,,,,,,,,,,,,,,,,
2288,0,0,1,0,0,0,1,24,3,1,0,5,1,4,0,10,2,0,1,0,1.0,0,1,1,1
1775,,,,,,,,,,,,,,,,,,,,,,,,,
958,,,,,,,,,,,,,,,,,,,,,,,,,
2617,,,,,,,,,,,,,,,,,,,,,,,,,
454,,,,,,,,,,,,,,,,,,,,,,,,,
920,0,0,2,3,0,3,3,38,5.5,1,2,4,2,3,0,10,2,1,1,0,0.0,0,3,0,3
956,0,0,2,1,0,5,5,136,1,9,3,0,0,1,0,22,1,2,2,0,0.5,0,3,2,7
1656,0,0,2,0,0,0,2,27,1,0,0,8,0,1,0,42,2,1,4,0,0.75,0,1,2,2
1669,0,0,2,0,0,0,3,21,1,0,1,9,1,2,0,5.5,2,1,1,0,0.666666666666667,0,2,2,2
2906,0,0,1,1,0,0,1,56,1,1,14,4.5,0,5,0,14,2,0,1,0,0.5,0,5,2,2
153,,,,,,,,,,,,,,,,,,,,,,,,,
1641,5,0,2,0,0,6,5,165,1,13,0,2,0,2,0,25,1,2,2,0,0.6,0,1,2,1
123,,,,,,,,,,,,,,,,,,,,,,,,,
957,,,,,,,,,,,,,,,,,,,,,,,,,
1735,0,0,1,0,0,1,1,87,6.5,1,11,42,0,4,0,12.5,2,0,1,0,0.5,0,3,3,4
2489,,,,,,,,,,,,,,,,,,,,,,,,,
1800,,,,,,,,,,,,,,,,,,,,,,,,,
2077,1,0,1,0,0,0,1,33,4,3,6,18.5,1,6,0,18,1,0,1,0,0.75,0,1,2,7
2256,2,0,1,0,0,2,3,30,1,0,0,2,0,5,0,16,1,1,5,0,0.666666666666667,0,1,2,2
110,0,0,1,0,0,0,1,22,6.5,0,8,0.5,1,3,0,25.0,1,0,0,0,0.333333333333333,0,5,3,1
1861,0,0,1,1,0,1,2,81,1.0,5,9,68.0,7,1,77,15.5,2,1,0,0,0.75,0,1,2,1
3523,0,0,1,0,0,0,1,16,5.5,1,0,19.0,2,5,0,13.5,2,0,1,0,1.0,0,1,1,0
2414,15,0,1,1,0,6,6,103,20.0,0,12,1,3,2,0,6.0,2,1,1,0,0.8,0,4,2,2
1537,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,
1690,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,0,1,1,3,2,2,51,4.5,1,3,0,0,2,0,16.5,1,1,1,0,0.4,0,3,3,3
1516,5,7,1,1,0,2,1,418,6,2,32,2.0,6,3,19,5.0,2,0,0,0,0.75,0,1,2,1
1761,1,0,1,0,0,1,1,96,6.5,0,11,0.5,0,4,0,8,2,0,1,0,0.4,0,3,3,7
923,1,0,1,1,1,2,3,44,2.5,4,2,0,0,3,0,14.5,2,1,1,0,0.5,0,1,3,5
1534,1,0,2,0,0,6,3,180,2,11,9,12,0,4,2,14.5,3,0,0,0,0.571428571428571,0,1,3,4
2513,,,,,,,,,,,,,,,,,,,,,,,,,
361,,,,,,,,,,,,,,,,,,,,,,,,,
921,,,,,,,,,,,,,,,,,,,,,,,,,
2911,,,,,,,,,,,,,,,,,,,,,,,,,
865,,,,,,,,,,,,,,,,,,,,,,,,,
960,,,,,,,,,,,,,,,,,,,,,,,,,
1744,1,0,1,0,0,1,1,104,5.5,0,13,0.5,0,5,0,3.0,2,0,1,0,0.5,0,3,3,4
38,,,,,,,,,,,,,,,,,,,,,,,,,
1742,,,,,,,,,,,,,,,,,,,,,,,,,
1620,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,,
