,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE
987,0,0,1,0,0,1,2,25,2,2,2,0,1,4,0,8,2,0,1,0,0.5,0,3,3,1
1534,2,0,2,0,0,6,3,180,2,7,9,12,1,4,2,20,3,0,0,0,0.571428571428571,0,1,3,4
1669,0,0,2,0,0,0,1,21,1,0,1,9,1,2,0,4,2,1,1,0,0.666666666666667,0,2,2,2
454,3,0,2,0,10,4,4,43.5,1,0,0,8,0,1,0,3,1,0,1,0,0.4,0,3,3,1
2911,1,0,2,0,3,5,5,95,1,7,3,5,0,3,0,19,1,1,1,0,0.428571428571429,0,3,2,6
865,1,0,2,0,3,6,4,17.0,1,7,3,5,0,3,1,19,1,1,1,0,0.333333333333333,0,2,3,3
923,1,0,1,1,1,2,3,44,1,4,2,6,1,3,0,14.5,2,1,1,0,0.5,0,1,2,5
799,0,0,1,0,0,0,1,23,1,1,2,2,0,3,0,4,1,0,1,0,0.666666666666667,0,5,3,2
2513,0,0,1,1,0,0,2,37,3,6,11,22,0,3,0,9,1,0,0,0,0.428571428571429,0,4,1,2
1620,1,0,1,1,1,2,3,23.0,1,7,9,10,1,3,0,5.0,1,1,1,0,0.4,0,3,3,3
956,0,0,2,0,0,5,5,136,1,9,3,11,0,1,0,22,1,2,2,0,0.5,0,3,2,7
2077,1,0,1,5.5,0,0,1,33,4,3,6,84,1,6,0,18,1,0,1,0,0.75,0,1,2,7
1775,6,0,1,2,0,2,2,163,7,7,33,46,1,3,0,29,4,0,1,0,0.444444444444444,0,2,2,4
2414,3,0,1,1,0,6,6,20.0,1,0,12,10,3,2,0,3.0,2,1,1,0,0.8,0,1,1,2
2617,4,0,1,0,0,1,3,17.0,2,6,3,6,0,3,0,8.0,1,1,1,0,0.428571428571429,0,3,3,5
2489,3,0,1,8,2,0,3,40,4,1,7,19,7,2,0,24,2,0,0,0,0.2,0,2,1,3
2256,2,0,1,9.0,0,2,3,30,1,0,0,2,5,5,0,3.0,1,1,4,0,0.666666666666667,0,1,1,2
2906,0,0,1,1,0,0,1,20.0,1,1,14,42,3,5,0,3.0,2,0,1,0,0.5,0,1,1,2
11,1,0,1,0,3,2,2,32.0,1,1,3,9,0,2,0,9,1,1,1,0,0.4,0,3,3,3
1641,5,0,2,9.0,0,6,5,20.0,1,7.0,0,2,1,2,0,25,1,2,2,0,0.6,0,1,2,1
123,0,0,1,4,0,2,2,27.5,1,0,3,84,0,1,1,8,1,0,1,0,0.571428571428571,0,3,4,4
1742,1,2,1,0,0,8,1,1595.0,1,11,7,181,4,3,27,94,2,0,0,0,0.5,0,3,0,8
921,5,0,1,6,0,1,3,20.0,3,1,25,51,5,5,0,23,2,0,0,0,0.4,0,1,2,6
2288,0,0,1,16.0,0,0,1,24,4,1,0,5,0,4,0,5,2,0,1,0,0.40454545454545454,0,1,4,1
153,0,0,1,1,0,6,2,172,1,1,1,12,5,2,91,2.0,2,1,0,0,0.625,0,1,1,5
957,0,0,1,1,7,0,1,20.0,1,4,4,67,5,3,1,3.0,3,0,1,0,0.545454545454545,0,1,1,5
1516,17,7,1,1,0,2,1,27.5,4,2,32,151,0,3,19,14.0,2,0,0,0,0.75,0,1,1,1
1761,1,0,1,0,0,1,1,20.0,1,0,11,44,3,4,0,2,2,0,1,0,0.4,0,3,2,0
1800,7,0,2,1,0,6,3,27.5,0,4.0,29,16,2,4,3,27,2,0,0,0,0.5,0,1,2,2
958,3,0,1,5,1,0,1,174,4,1,62,141,3,2,0,2.0,2,1,1,0,0.625,0,3,2,6
38,0,114,1,0,0,6,1,35.5,1,0,0,46.5,5,2,1,40,2,0,0,0,0.375,0,3,1,2
1690,3,0,1,16.0,0,1,1,167,1,4,10.5,91,0,3,0,18,2,0,1,0,0.428571428571429,0,3,1,1
960,2,0,1,16.0,2,0,1,23.0,2,7,13,158,7,3,2,35,4,0,1,0,0.5,0,2,1,1
106,1,0,1,1,0,2,2,20.0,3,0,7,13,7,2,0,6.0,5,0,0,0,0.5,0,2,2,5
920,0,0,1,3,0,3,3,38,2,1,2,4,2,3,0,10,2,1,1,0,0.0,0,3,0,3
3523,0,0,2,19.0,0,0,1,16,2,1,0,1,7,5,0,1,2,0,1,0,0.7596153846153846,0,1,1,0
361,5,0,1,1,1,5,3,264,6,7.0,24,27,0,2,3,31,4,0,0,0,0.666666666666667,0,1,3,8
1861,0,0,1,0,0,1,2,81,1,5,9,14,0,1,4.0,1,2,1,0,0,0.75,0,1,2,1
1656,0,0,2,0,0,0,2,27,1,0,0,11,0,1,0,8.5,2,1,4,0,0.75,0,1,2,2
1537,1,1,1,2,0,0,1,115,2,7,38,96,0,4,2,27,2,0,1,0,0.428571428571429,0,1,3,5
110,0,0,1,0,0,0,1,22,1,0,8,25,0,3,0,9,1,0,0,0,0.333333333333333,0,5,2,1
1735,0,0,1,0,0,1,1,87,1,1,11,42,0,4,0,9,2,0,1,0,0.5,0,3,2,4
1744,1,0,1,0,0,1,1,104,2,0,13,52,0,5,0,11,2,0,1,0,0.5,0,3,2,4
58,4,0,2,1,0,4,3,132,4,9,13,25,1,3,0,19,2,0,1,0,0.727272727272727,0,3,2,6
