,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
356,19.0,54.0,1.0,4.0,11.0,0.0,524.0,5.0,0.0,171.0,13.8922716627635,0.0,99.0,0.21,0.0,2.0,2.0,131.0,0.0,0.0,1.0,0.244239631336406,0.0,414.0,0.517857142857143,3.0,3.0,11.0
377,2.0,0.0,1.0,13.0,6.0,2.0,165.0,2.0,1.0,1.0,6.16981132075472,0.0,93.0,0.35,0.0,4.0,2.0,20.0,0.0,1.0,1.0,0.625,0.0,169.0,0.571428571428571,0.0,6.0,6.0
405,42.0,17.0,2.0,11.0,56.0,0.0,155.0,5.0,0.0,7.0,0.09,0.0,100.0,6.19047619047619,0.0,3.0,3.0,33.0,0.0,1.0,0.0,1.0530303030303,0.0,131.0,0.411764705882353,0.0,2.0,12.0
304,15.0,0.0,1.0,2.0,211.0,0.0,49.0,2.0,0.0,1.0,5.43457943925234,0.0,100.0,0.04,0.0,2.0,1.0,65.0,0.0,1.0,1.0,0.497695852534562,0.0,189.0,0.6875,0.0,2.0,5.0
380,33.0,6.0,1.0,20.0,13.0,0.0,274.0,47.0,1.0,26.0,3.47619047619048,0.0,97.0,0.19,26.0,4.0,2.0,37.0,0.0,0.0,1.0,0.437275985663082,0.0,593.0,0.394736842105263,0.0,4.0,12.0
928,7.0,4.0,1.0,22.0,5.0,3.0,582.0,4.0,17.0,7.0,98.0,0.0,15.928,1.0,1.0,0.84,8.0,31.0,0.0,0.0,1.0,0.453846153846154,0.0,100.0,0.35,0.0,3.0,5.0
929,12.0,9.0,1.0,3.0,36.0,2.0,206.0,3.0,0.0,2.0,4.13698630136986,0.0,80.0,0.3,0.0,4.0,2.0,21.0,1.0,1.0,1.0,0.636363636363636,0.0,58.0,0.777777777777778,0.0,1.0,2.0
390,8.0,0.0,1.0,7.0,38.0,0.0,103.0,2.0,0.0,2.0,3.64102564102564,0.0,97.0,0.19,0.0,1.0,1.0,12.0,2.0,1.0,1.0,0.714285714285714,0.0,530.0,1.0,0.0,2.0,5.0
376,36.0,0.0,1.0,8.0,16.0,0.0,170.0,3.0,0.0,2.0,24.0,0.0,92.0,0.21,0.0,6.24409448818898,2.0,5.0,0.0,1.0,1.0,0.603053435114504,0.0,92.0,0.4,0.0,4.0,7.0
359,33.0,0.0,2.0,27.0,22.0,0.0,138.0,3.0,0.0,4.0,97.0,0.0,17.0,3.88461538461538,0.0,0.11,2.0,4.0,0.0,1.0,1.0,0.712962962962963,0.0,165.0,1.0,0.0,3.0,4.0
385,3.0,0.0,1.0,4.0,31.0,0.0,35.0,15.0,4.0,2.0,36.0,0.0,100.0,4.0,2.0,2.83673469387755,2.0,0.06,0.0,1.0,1.0,0.784615384615385,0.0,743.0,0.407407407407407,0.0,5.0,3.0
397,9.0,1.0,1.0,4.0,27.0,2.0,257.0,5.0,10.0,0.0,0.45,0.0,100.0,7.42105263157895,5.0,3.0,2.0,27.0,0.0,1.0,1.0,0.435643564356436,0.0,34.0,0.4,0.0,5.0,5.0
370,6.0,3.0,1.0,1.0,25.0,0.0,39.0,8.0,3.0,6.0,6.83333333333333,0.0,86.0,0.14,0.0,3.0,2.0,18.0,1.0,2.0,1.0,0.411764705882353,0.0,586.0,0.5,0.0,5.0,1.0
169,5.0,0.0,1.0,18.0,7.0,0.0,71.0,1.0,0.0,17.0,0.16,1.0,85.0,1.0,0.0,20.0,3.0,6.58536585365854,1.0,1.0,1.0,0.465116279069767,0.0,198.0,1.0,0.0,1.0,2.0
375,3.0,0.0,1.0,0.0,27.0,0.0,41.0,1.0,0.0,0.0,0.17,1.0,4.11111111111111,1.0,0.0,9.0,1.0,0.0,2.0,3.0,1.0,0.655172413793103,0.0,70.0,0.5,0.0,3.0,6.0
398,8.0,1.0,1.0,1.0,7.0,7.0,869.0,4.0,6.0,0.0,100.0,0.0,1.29,5.27722772277228,59.0,3.0,2.0,27.0,0.0,1.0,1.0,0.433962264150943,0.0,129.0,0.5,0.0,4.0,10.0
360,11.0,1.0,2.0,4.0,13.0,1.0,160.0,1.0,0.0,1.0,4.31884057971014,0.0,17.0,88.0,0.0,5.0,1.0,0.26,0.0,1.0,1.0,0.816901408450704,0.0,192.0,0.75,0.0,6.0,5.0
408,142.0,19.0,2.0,8.0,44.0,0.0,380.0,7.0,3.0,15.0,6.22693726937269,0.0,100.0,0.07,0.0,3.0,2.0,50.0,0.0,1.0,0.0,0.84,0.0,650.0,0.392857142857143,0.0,2.0,11.0
292,6.0,0.0,2.0,59.0,52.0,0.0,88.0,57.0,0.0,1.0,0.08,0.0,99.0,3.3030303030303,21.0,1.0,2.0,34.0,0.0,1.0,1.0,0.610526315789474,0.0,2598.0,0.952380952380952,1.0,1.0,8.0
237,3.0,1.0,1.0,11.0,26.0,0.0,51.0,5.0,1.0,3.0,0.1,1.0,95.0,4.0,0.0,5.0,2.0,19.0,1.0,1.0,1.0,0.918918918918919,0.0,124.0,0.363636363636364,0.0,4.0,6.0
242,3.0,18.0,1.0,6.0,9.0,0.0,39.0,7.0,3.0,9.0,0.09,0.0,23.0,5.0,2.0,2.6271186440678,3.0,100.0,0.0,0.0,1.0,0.402985074626866,0.0,156.0,0.666666666666667,0.0,3.0,4.0
369,5.0,0.0,1.0,0.0,67.0,0.0,36.0,50.0,0.0,16.0,4.47457627118644,0.0,22.0,0.03,0.0,1.0,2.0,16.0,1.0,2.0,1.0,0.644970414201183,0.0,314.0,0.648648648648649,0.0,5.0,1.0
535,14.0,2.0,2.0,6.0,20.0,1.0,119.0,14.0,0.0,42.0,3.71212121212121,0.0,100.0,0.17,5.0,2.0,2.0,16.0,0.0,0.0,0.0,0.962962962962963,0.0,47.0,0.5,0.0,3.0,5.0
488,25.0,0.0,1.0,3.0,12.0,0.0,221.0,3.0,1.0,27.0,16.4110429447853,0.0,100.0,0.22,0.0,1.0,1.0,29.0,0.0,0.0,0.0,0.317365269461078,0.0,39.0,0.8,0.0,2.0,5.0
531,33.0,0.0,2.0,16.0,38.0,8.0,721.0,20.0,0.0,2.0,0.52,1.0,96.0,4.25974025974026,18.0,1.0,2.0,11.0,1.0,0.0,1.0,0.704081632653061,0.0,332.0,0.5,0.0,5.0,4.0
417,3.0,0.0,1.0,13.0,17.0,0.0,84.0,2.0,2.0,2.0,23.0,1.0,94.0,0.12,0.0,3.0,2.0,3.04166666666667,0.0,1.0,1.0,0.52,0.0,54.0,0.571428571428571,0.0,5.0,9.0
421,9.0,3.0,1.0,14.0,17.0,0.0,55.0,26.0,25.0,20.0,91.0,0.0,2.18791946308725,4.0,7.0,0.05,2.0,22.0,0.0,0.0,1.0,0.448863636363636,0.0,1261.0,0.647058823529412,0.0,5.0,3.0
