,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Min,OWN_COMMIT,MINOR_LINE,MAJOR_LINE
5525,5,0,1,1,2,0,2,35,1,7,15,12.5,0,4,0,3,1,0,3.575,1,1,0,0.428571428571429,6,3
5528,0,0,1,3,0,0,1,32,1,3,11,12.5,0,3,0,1,2,0,1.48484848484848,0,1,0,0.857142857142857,2,2
3716,6,0,2,0,0,2,5,99,1,2,4,3,2,1,1,4.5,2,1,11.037037037037,1,1,0,0.0,2,0
6488,10,0,1,4,0,0,2,27,1,2,4,6.5,0,3,0,9,1,0,5.14285714285714,1,1,0,0.5,3,2
624,1,2,1,1,0,8,1,1632,1,12,7,7.0,0,3,27,8.0,2,0,3.60913705583756,0,1,0,0.5857142857142854,4,5
4637,1,0,1,0,2,0,1,106,1,7,9,27.0,0,3,2,8.0,4,0,2.54891304347826,1,1,0,0.0,7,4
117,7,0,2,1,0,4,3,137,4,9,13,12.5,1,3,0,2.5,2,0,5.41463414634146,1,1,0,0.4142857142857145,3,0
4195,0,0,1,1,0,0,1,43,1,0,19,27.0,0,5,2,1,2,0,1.7843137254902,1,1,0,0.333333333333333,5,2
5371,1,0,1,2,0,1,3,65,4,7,11,0,1,4,0,2.5,2,0,6.25925925925926,0,1,0,0.714285714285714,2,1
106,16,0,3,3,4,5,5,204,2,5,11,3,2,1,0,17.0,2,2,8.52941176470588,1,1,0,0.4142857142857145,2,4
205,0,4,1,1,0,0,2,53,1,5,13,4.0,0,3,0,4.5,3,0,2.88636363636364,1,1,0,0.714285714285714,2,0
3061,4,0,1,1,0,5,5,109,1,0,13,5,6,2,0,11,2,2,10.0,1,1,0,0.4,4,3
3216,7,0,1,4,0,1,1,57,28,0,2,52,0,5,0,14,2,0,6.20338983050847,1,1,0,0.285714285714286,2,0
4237,0,0,1,1,0,0,1,49,1,1,18,50,0,5,0,7,2,0,1.72549019607843,1,1,0,0.5,4,1
3399,1,3,1,1,0,0,2,83,5,16,39,86,0,3,2,4.5,4,0,3.19811320754717,0,1,0,0.285714285714286,6,6
807,3,0,1,1,0,1,2,63,1,5,14,20.5,0,1,0,14,2,1,2.72222222222222,1,1,0,0.666666666666667,2,4
160,1,0,1,2,0,0,1,122,2,8,44,112,0,4,2,16.0,2,0,1.8595041322314,1,1,0,0.285714285714286,1,5
6789,2,0,1,1,0,0,3,23,2,2,3,4,0,3,0,7.5,2,1,6.875,1,1,0,0.0,3,3
7400,16,0,2,0,0,6,5,365,3,0,34,4,2,2,0,7.5,2,2,9.15,1,1,0,0.666666666666667,4,5
212,0,0,1,0,0,0,1,22,1,2,8,25,0,3,0,6,2,0,1.55555555555556,1,1,0,0.0,5,1
204,2,0,1,1,0,2,2,75,3,8,8,13,0,2,0,16.0,5,0,4.26086956521739,0,1,0,0.0,4,6
5440,5,0,1,1,2,1,2,71,2,7,9,23,0,3,0,7,2,1,4.62857142857143,1,1,0,0.0,3,5
59,17,7,1,1,0,2,1,417,26,2,32,46.5,0,3,19,4,2,0,2.19318181818182,0,0,0,0.285714285714286,1,2
6739,9,0,1,2,4,1,2,98,3,10,18,20.5,1,3,0,8.5,1,0,4.39622641509434,0,1,0,0.285714285714286,2,0
