test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1
57,0,17.0,7.0,1.0,1.0,0.0,2.0,1.0,926.0,26.0,2.0,21.0,12.0,0.0,3.0,19.0,14.0,2.0,0.0,2.08474576271186,0.0,0.0,0.0,0.6,0.0,6.0,1.0,0.51,0.49
57,1,17.0,7.0,1.0,1.0,0.0,2.0,1.0,418.0,5.0,15.0,5.0,151.0,0.0,0.0,19.0,14.0,2.0,0.0,2.08474576271186,0.0,5.0,0.0,1.0,0.0,1.0,1.0,0.53,0.47
57,2,17.0,75.0,1.0,24.0,0.0,2.0,1.0,418.0,14.0,2.0,32.0,45.0,0.0,3.0,19.0,14.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.54,0.46
57,3,17.0,7.0,1.0,1.0,0.0,16.0,1.0,418.0,26.0,2.0,32.0,30.0,0.0,3.0,19.0,8.0,2.0,0.0,2.08474576271186,11.0,0.0,0.0,1.0,0.0,1.0,1.0,0.6,0.4
57,4,17.0,7.0,1.0,1.0,0.0,11.0,1.0,418.0,26.0,2.0,32.0,151.0,0.0,4.0,1887.0,3.0,2.0,0.0,11.7,0.0,17.0,0.0,1.0,0.0,1.0,1.0,0.51,0.49
57,5,17.0,7.0,1.0,1.0,26.0,2.0,1.0,418.0,26.0,2.0,32.0,151.0,19.0,3.0,19.0,3.0,2.0,226.0,2.08474576271186,17.0,0.0,0.0,1.0,0.0,1.0,1.0,0.54,0.46
57,6,10.0,7.0,1.0,1.0,29.0,2.0,1.0,418.0,32.0,2.0,25.0,20.0,0.0,3.0,19.0,14.0,2.0,0.0,17.5,0.0,0.0,0.0,0.7,1.0,1.0,1.0,0.61,0.39
57,7,17.0,7.0,1.0,18.0,25.0,12.0,1.0,418.0,26.0,2.0,32.0,24.0,0.0,3.0,19.0,14.0,3.0,0.0,2.08474576271186,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.52,0.48
57,8,17.0,19.0,6.0,1.0,0.0,2.0,15.0,230.0,26.0,2.0,32.0,151.0,0.0,3.0,2205.0,3.0,2.0,0.0,2.08474576271186,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.53,0.47
57,9,17.0,75.0,1.0,24.0,0.0,2.0,1.0,418.0,14.0,2.0,32.0,45.0,0.0,4.0,19.0,14.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.52,0.48
57,10,17.0,7.0,1.0,18.0,25.0,12.0,1.0,418.0,26.0,2.0,26.0,24.0,0.0,3.0,19.0,14.0,3.0,0.0,2.08474576271186,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.54,0.46
57,11,5.0,7.0,1.0,40.0,57.0,2.0,1.0,418.0,26.0,2.0,32.0,15.0,23.0,9.0,19.0,14.0,2.0,0.0,2.08474576271186,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.53,0.47
