,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,CountDeclInstanceMethod,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
210,0,0,1,0,0,0,0.51,1,0,3,0.67,0,10,36,2,0,12,2,3.4,1,2.9,1,1,1.0,0,1,68,0,3,3
474,1,1,1,1,5,0,33,2,0,0,0.26,0,4,85,6,1,13,2,4.11111111111111,2,7.0,2,1,0.5,0,1,1.0,0,4,3
496,26,0,1,22,1,2,139,2,7,10,0.19,2,54,74,2,1,19,2,7.76363636363636,2,7.61818181818182,1,1,0.05,0,1068,1.0,0,1,3
468,1,0,1,4,37,0,36,8,1,7,0.12,0,11,82,2,0,13,2,3.33333333333333,1,6.10416666666667,1,1,0.05,0,76,0.1,0,4,2
477,3,19,1,8,9,0,0,7,3,10,0.09,0,53,99,5,2,19,4,2.69354838709677,0,3.37096774193548,0,1,0.0,0,19,0.1,0,4,4
515,1,0,1,0,0,1,94,3,0,13,1.03,0,21,99,1,0,7,1,3.76190476190476,0,3.33333333333333,1,0,0.05,0,145,0.6875,0,3,4
270,6,0,1,18,7,0,69,3,0,31,0.13,1,52,61,1,0,19,3,5.72881355932203,1,4.15254237288136,1,1,0.05,0,45,1.0,0,1,2
592,0,0,1,0,2,0,11,5,0,8,0.25,0,9,74,3,0,0.8,2,3.27272727272727,1,5.45454545454545,1,1,0.55,0,39,37,0,1,4
602,1,0,1,0,9,0,36,10,1,4,0.11,0,33,52,4,1,10,2,2.95238095238095,0,4.71428571428571,2,1,0.15000000000000002,0,36,0.15000000000000002,0,7,4
603,3,2,2,0,1,2,69,3,1,4,0.28,1,15,62,1,0,13,2,3.4375,0,8.125,1,1,0.30000000000000004,0,34,0.15000000000000002,0,5,8
625,0,0,1,138,387,1,555,1,2,4,0.14,0,8,90,1,0,94,2,4.66835443037975,1,4.31645569620253,1,1,0.05,0,8702,0.15000000000000002,0,2,1
542,13,0,2,5,50,1,69,11,0,3,0.14,1,11,2,1,0,19,2,5.0655737704918,0,8.60655737704918,1,1,0.05,0,385,0.25,2,3,9
637,68,0,2,5,29,1,461,12,0,6,0.15,0,290,74,3,1,19,2,6.05956112852665,0,5.16300940438872,1,1,0.05,0,125,0.1,0,6,10
552,2,0,2,2,9,0,6,2,3,1,0.18,0,24,76,3,2,13,2,4.12121212121212,0,4.09090909090909,1,1,0.05,0,76,1.0,0,3,7
539,9,0,1,1,11,0,18,3,1,2,0.05,1,26,60,3,3,15,2,4.45945945945946,0,5.83783783783784,1,1,0.0,0,47,0.9500000000000001,0,2,0
640,11,1,2,4,13,1,17,1,0,1,0.25,0,59,76,5,0,13,1,4.36111111111111,0,5.76388888888889,1,1,0.0,0,11,0.1,0,6,6
649,6,3,1,4,29,0,36,14,0,4,0.12,0,17,60,3,0,13,2,2.67391304347826,0,4.89130434782609,1,1,0.05,0,437,0.1,0,4,6
638,8,4,1,22,5,3,612,4,17,7,0.81,0,127,71,1,1,19,8,15.9015151515152,0,4.09848484848485,0,1,0.1,0,186,0.1,0,2,6
653,6,3,1,1,27,0,36,8,3,6,0.13,0,21,71,3,0,18,2,6.60416666666667,1,4.60416666666667,2,1,0.05,0,56,0.1,0,6,0
656,17,1,2,11,45,2,139,5,3,2,0.21,2,33,4,4,1,19,2,4.02564102564103,0,8.28205128205128,1,1,0.05,0,161,0.1,1,4,9
652,5,0,1,0,82,0,6,54,0,23,0.03,1,55,16,1,0,15,2,4.55474452554745,1,5.47445255474453,2,1,0.05,0,20,0.30000000000000004,0,5,1
256,8,0,1,0,0,0,36,14,14,15,0.08,1,217,2,1,2,19,2,5.80645161290323,0,5.62672811059908,0,1,0.05,0,145,0.35000000000000003,0,1,1
551,21,0,1,2,7,0,0,1,2,5,0.12,0,57,4,5,0,19,1,5.015625,0,5.40625,1,1,0.05,0,68,0.1,0,4,7
665,13,1,2,37,0,0,4,5,3,65,0.07,0,118,79,1,7,13,2,4.26271186440678,0,2.99152542372881,1,0,0.05,0,124,0.15000000000000002,0,5,4
662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,3,0,1,4,34,0,0,18,4,2,0.07,1,20,70,4,2,15,2,2.77777777777778,0,6.37037037037037,1,1,0.05,0,83,0.1,0,6,2
669,8,0,1,1,116,1,139,8,0,0,0.15,1,10,76,4,5,19,2,3.71428571428571,0,6.49206349206349,1,1,0.0,0,198,0.1,0,6,11
680,10,1,1,6,29,2,139,8,10,0,0.43,0,72,75,3,5,19,2,7.5049504950495,0,3.63366336633663,1,1,0.0,0,24,0.1,0,5,9
685,3,0,1,1,4,0,12,2,0,4,0.28,1,18,2,3,0,19,2,6.22727272727273,0,5.40909090909091,1,1,0.05,0,69,0.15000000000000002,0,3,5
