,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Min,OWN_COMMIT,MINOR_LINE,MAJOR_LINE
204,2,0,1,1,0,2,2,75,3,4,6,13,0,2,0,16,4,0,4.26086956521739,0,1,0,0.0,2,4
624,1,2,1,1,0,8,1,1632,1,4,6,182,0,3,27,94,2,0,3.60913705583756,0,1,0,0.875,4,10
212,0,0,1,0,0,0,1,22,1,2,1,6,0,8,0,21,2,0,1.55555555555556,1,1,2,0.0,5,1
205,0,4,1,1,0,0,2,53,1,4,8,35,0,3,0,16,2,0,2.88636363636364,1,1,0,1.0,2,4
5371,1,0,1,2,0,1,2,65,4,4,6,19,1,4,0,16,2,0,6.25925925925926,0,1,0,1.0,2,3
5528,0,0,1,2,0,0,1,32,1,2,8,21,0,3,0,12,2,0,1.48484848484848,0,1,0,0.0,2,2
6488,5,0,1,2,0,0,2,27,1,2,2,2,0,3,0,8,1,0,5.14285714285714,1,1,0,0.5,3,1
7400,5,0,2,0,0,6,2,365,3,0,24,4,2,2,0,2,2,2,9.15,1,1,0,0.666666666666667,4,4
4237,0,0,1,1,0,0,1,47,1,1,8,49,0,5,0,8,2,0,1.72549019607843,1,1,0,0.5,4,2
3061,3,0,1,1,0,5,2,94,1,0,8,12,6,2,0,11,2,2,10.0,1,1,0,0.30000000000000004,4,3
4185,1,0,1,1,0,1,2,47,1,4,3,13,0,1,4,16,2,0,7.8500000000000005,1,1,0,1.0,2,2
165,0,0,1,0,0,2,3,1,1,3,6,6,0,1,0,10,2,0,4.2,1,1,0,1.0,1,47
160,1,0,1,2,0,0,1,122,2,4,24,112,0,4,2,16,2,0,1.8595041322314,1,1,0,0.666666666666667,1,1
913,0,0,1,1,0,1,2,47,1,4,8,15,0,1,98,2,2,2,2.95,0,1,0,0.6,2,2
6739,5,0,1,2,4,1,2,94,3,4,2,34,1,3,0,16,1,0,4.39622641509434,0,1,0,0.5,2,3
4195,0,0,1,1,0,0,1,43,1,0,8,49,0,5,1,8,2,0,1.7843137254902,1,1,0,1.0,2,2
3399,1,3,1,1,0,0,2,83,5,3,24,49,0,3,2,30,4,0,3.19811320754717,0,1,0,0.75,5,4
117,5,0,2,1,0,4,1,115,4,9,13,25,1,3,0,16,2,0,5.41463414634146,1,1,0,0.4,3,7
106,5,0,3,3,4,5,2,54,2,5,11,13,2,1,0,30,2,2,8.52941176470588,1,1,0,0.857142857142857,2,4
4637,1,0,1,0,2,0,1,54,1,7,9,176,0,3,2,30,3,0,2.54891304347826,1,1,0,0.4,2,4
59,0,6,1,1,0,2,1,417,26,2,10,150,0,3,19,14,2,0,2.19318181818182,0,0,0,0.5,1,2
