,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Min,OWN_COMMIT,MINOR_LINE,MAJOR_LINE
59,17,7,1,1,0,2,1,417,26,2,32,2,0,3,19,0.30000000000000004,2,0,2.19318181818182,0,0,0,150,1,8
160,1,0,1,2,0,0,1,122,2,8,44,4,0,4,2,112,2,0,1.8595041322314,1,1,0,16,0.30000000000000004,2
106,16,0,3,3,4,5,5,204,2,5,11,0.8,2,1,0,3,2,2,8.52941176470588,1,1,0,4,7,30
165,0,0,1,0,0,2,2,50,1,4,6,1.0,0,1,0,2,2,0,4.2,1,1,0,8,5,1
913,0,0,1,1,0,2,2,65,1,5,9,0.30000000000000004,0,1,103,6,2,2,2.95,0,1,0,3,1,7
204,2,0,1,1,0,2,2,75,3,8,8,7,0,2,0,4,5,0,4.26086956521739,0,1,0,16,1,0.12
205,0,4,1,1,0,0,2,53,1,5,13,16,0,3,0,4,3,0,2.88636363636364,1,1,0,21,1.0,3
3061,4,0,1,1,0,5,5,109,1,0,13,7,6,2,0,8,2,2,10.0,1,1,0,0.30000000000000004,4,2
212,0,0,1,0,0,0,1,22,1,2,8,8,0,3,0,0.12,2,0,1.55555555555556,1,1,0,21,2,1
4195,0,0,1,1,0,0,1,43,1,0,19,3,0,5,2,49,2,0,1.7843137254902,1,1,0,2,1.0,8
3399,1,3,1,1,0,0,2,83,5,16,39,49,0,3,2,16,4,0,3.19811320754717,0,1,0,0.30000000000000004,6,4
4237,0,0,1,1,0,0,1,49,1,1,18,49,0,5,0,8,2,0,1.72549019607843,1,1,0,0.30000000000000004,4,2
4185,1,0,1,1,0,1,3,58,1,7,3,16,0,1,4,3,2,0,7.85714285714286,1,1,0,7,1.0,1
5528,0,0,1,3,0,0,1,32,1,3,11,0.12,0,3,0,21,2,0,1.48484848484848,0,1,0,8,2,1
4637,1,0,1,0,2,0,1,106,1,7,9,4,0,3,2,3,4,0,2.54891304347826,1,1,0,176,0.30000000000000004,30
5371,1,0,1,2,0,1,3,65,4,7,11,7,1,4,0,16,2,0,6.25925925925926,0,1,0,1.0,2,3
6739,9,0,1,2,4,1,2,98,3,10,18,16,1,3,0,3,1,0,4.39622641509434,0,1,0,21,2,0.30000000000000004
6488,10,0,1,4,0,0,2,27,1,2,4,0.30000000000000004,0,3,0,9,1,0,5.14285714285714,1,1,0,3,3,1
624,1,2,1,1,0,8,1,1632,1,12,7,182,0,3,27,94,2,0,3.60913705583756,0,1,0,0.4,4,9
117,7,0,2,1,0,4,3,137,4,9,13,8,1,3,0,16,2,0,5.41463414634146,1,1,0,0.8,3,4
7400,16,0,2,0,0,6,5,365,3,0,34,0.30000000000000004,2,2,0,1,2,2,9.15,1,1,0,6,4,6
