,CountDeclMethodPrivate,AvgEssential,AvgLineComment,CountLineComment,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
1431,3,1,0,92,1,16,0.03,0,97,2,1,190.0,2,1.67469879518072,0,0,1,0.252525252525253,0,0.428571428571429,0,5,9
1934,0,1,1,1320,0,0,1.84,0,0,1,0,2,2,0.0,0,0,1,0.0,0,0.153846153846154,0,1,1
1939,2,1,1,374,0,2,1.54,0,84,2,0,2,2,0.896551724137931,0,0,1,0.183333333333333,0,0.0,0,1,1
209,,,,,,,,,,,,,,,,,,,,,,,
376,,,,,,,,,,,,,,,,,,,,,,,
851,0,1,0,75,0,23,0.03,1,100,2,0,15,1,6.63636363636364,0,1,1,0.933333333333333,0,0.666666666666667,0,1,4
429,,,,,,,,,,,,,,,,,,,,,,,
1850,1,1,2,56,0,2,0.0,6,0,2,0,4.5,2,31.0,0,0,1,1.23529411764706,0,0.428571428571429,0,2,1
1922,0,1,2,72,0,0,0.0,1,43.0,1,0,0,2,31.0,1,1,1,1.03571428571429,0,0.428571428571429,0,2,1
1933,12,1,0,46,2,7,0.0,0,43.0,1,2,8.0,2,0.0,0,0,1,0.189320388349515,0,0.428571428571429,0,1,1
1936,1,1,0,65,0,2,0.0,0,29.0,1,0,4.5,2,0.0,0,1,1,0.139896373056995,0,0.428571428571429,0,1,1
26,,,,,,,,,,,,,,,,,,,,,,,
677,,,,,,,,,,,,,,,,,,,,,,,
308,7,2,1,83,0,213,0.16,0,99,1,0,186.0,1,8.0,0,1,0,0.714285714285714,0,0.454545454545455,0,3,3
1852,0,1,1,24,0,0,0.03,6,44,2,0,11,1,3.33333333333333,1,9,1,1.25,0,0.8,0,2,1
1604,1,1,4,51,2,4,6.34,0,79,1,1,30.0,1,0.422222222222222,1,1,1,0.875,0,0.428571428571429,0,2,1
1899,3,1,1,53,0,1,0.3,0,80,1,0,5.5,1,0.0787878787878788,1,1,1,0.882352941176471,0,0.5,0,2,2
1798,1,1,3,37,1,0,0.10500000000000001,1,50,2,0,93.0,1,1.36842105263158,1,1,1,1.0,0,0.428571428571429,0,3,0
1938,2,1,6,109,0,0,6.34,0,86,1,0,30.0,2,0.422222222222222,0,1,1,0.866666666666667,0,0.428571428571429,0,2,1
831,4,1,0,140,0,30,0.01,0,84.5,1,3,16.5,2,17.43333333333335,0,1,0,0.550561797752809,0,0.454545454545455,0,7,7
1955,3,1,3,105,3,8,0.21,0,56.0,2,0,93.0,2,23.0,0,0,1,1.73333333333333,0,0.6,0,2,0
1438,2,1,0,78,1,14,0.17,0,97,2,2,15.0,2,1.47058823529412,0,0,1,0.2625,0,1.0,0,3,1
1913,1,1,1,41,0,2,0.0,0,16.0,1,0,0,2,23.0,0,0,1,1.8125,0,0.428571428571429,0,2,1
366,2,2,4,72,1,3,0.24,0,100,3,0,93.0,2,9.662280701754385,0,1,0,2.0,0,0.4,0,4,5
1574,1,3,1,47,5,1,0.0,1,22.0,2,0,8.0,1,23.0,0,1,1,1.5,0,0.428571428571429,0,2,0
1695,1,1,1,58,7,0,0.0,2,35.0,2,3,2.5,1,12.83333333333335,1,1,1,0.666666666666667,0,0.428571428571429,0,2,1
1789,0,1,0,29,2,1,0.0,1,90.0,2,0,59.5,2,1.36842105263158,1,2,1,0.625,0,0.428571428571429,0,3,0
1806,0,1,0,29,1,7,0.0,2,90.0,2,0,35.0,2,23.0,1,2,1,0.5,0,0.428571428571429,0,3,0
1802,0,1,0,38,2,3,0.0,0,78.5,2,0,82.0,2,23.0,1,1,1,1.4,0,0.428571428571429,0,2,1
1853,4,1,1,42,0,3,0.0,3,43.0,2,0,4.5,2,31.0,0,0,1,1.17391304347826,0,0.428571428571429,0,1,1
1458,0,1,2,296,0,5,1.91,0,100,2,3,2,1,2.49438202247191,0,0,0,0.0,0,0.428571428571429,0,6,5
1940,3,1,1,55,1,22,0.0,0,35.0,2,0,2.5,1,12.83333333333335,0,1,1,0.807692307692308,0,0.428571428571429,0,2,1
1944,0,2,1,67,0,7,0.10500000000000001,0,22.0,1,0,0,1,12.83333333333335,1,1,1,0.608695652173913,0,0.428571428571429,0,2,0
1965,4,2,2,72,0,5,0.0,2,56.0,2,0,4.5,2,31.0,0,1,1,1.38888888888889,0,0.428571428571429,0,3,6
499,2,1,1,32,0,3,0.0,3,22.0,2,0,4.5,3,12.83333333333335,0,0,1,1.42857142857143,0,0.428571428571429,0,1,7
2264,2,1,2,62,5,0,0.0,1,22.0,1,2,4.5,1,1.36842105263158,0,0,1,0.529411764705882,0,0.428571428571429,0,1,0
834,1,4,3,47,0,11,0.0,2,78.5,1,0,82.0,2,23.0,0,2,1,2.0,0,0.5571428571428569,0,4,2
1795,0,1,0,29,1,7,0.065,2,62.0,2,0,5.0,2,23.0,1,2,1,0.5,0,0.428571428571429,0,2,1
1799,1,1,3,45,1,2,6.34,1,78.5,2,0,8.0,1,31.0,1,2,1,1.0,0,0.428571428571429,0,3,0
1805,0,1,0,29,1,3,0.10500000000000001,2,90.0,2,0,35.0,2,3.0,1,2,1,0.833333333333333,0,0.428571428571429,0,3,0
2049,7,4,9,166,0,1,0.065,4,35.0,2,0,10.5,2,4.6,2,2,1,2.5,0,0.428571428571429,0,3,2
350,13,2,1,79,1,31,0.01,0,53.0,3,1,2.5,2,23.0,0,1,1,1.225,0,0.0,0,4,6
565,10,2,4,175,0,0,0.03,1,53.0,2,1,4.5,2,1.36842105263158,0,1,1,1.75555555555556,0,0.4,0,3,7
1817,3,1,0,42,0,11,0.22,0,86,1,0,15.0,2,0.0787878787878788,0,1,1,1.3125,0,0.8,0,2,1
1851,1,1,1,41,0,2,0.1,3,30,2,0,24,2,9.242857142857144,0,0,1,1.16666666666667,0,0.8,0,2,1
1855,7,1,1,55,2,28,0.21,0,77.0,1,0,186.0,1,3.70833333333333,1,1,1,0.75,0,1.0,0,1,0
766,,,,,,,,,,,,,,,,,,,,,,,
1883,3,1,0,49,0,0,0.33,0,97,2,0,9.5,1,2.10714285714286,1,2,1,0.516129032258065,0,0.6,0,2,1
1945,10,1,3,255,0,4,0.21,2,91,1,0,194.0,1,3.31578947368421,0,1,1,0.694915254237288,0,0.4375,0,3,2
1966,1,1,4,77,0,6,0.23,4,77.0,3,0,194.0,2,5.33333333333333,0,1,1,1.35714285714286,0,0.8,0,5,10
1059,,,,,,,,,,,,,,,,,,,,,,,
1958,,,,,,,,,,,,,,,,,,,,,,,
498,,,,,,,,,,,,,,,,,,,,,,,
