,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,CountDeclInstanceMethod,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
450,0,0,1,1,0,2,29,4,0,2,0.38,0,8,2,2,8,1,5.44444444444444,4,4.33333333333333,2,0,1.0,0,1,0
451,0,0,1,0,0,2,22,1,0,0,1.69,0,2,2,0,3,1,3.5,3,3.0,2,0,1.0,0,1,0
522,1,0,1,4,0,2,124,1,0,0,0.27,0,0,1,0,24,1,3.26666666666667,1,2.94444444444444,1,0,0.444444444444444,0,4,6
514,6,0,4,12,4,6,211,1,4,0,0.29,0,0,1,0,2,1,5.63157894736842,1,4.36842105263158,1,0,0.428571428571429,0,4,2
458,0,0,2,0,0,2,34,6,7,2,0.16,0,20,6,22,3,1,11.4782608695652,3,4.39130434782609,2,0,0.5,0,1,0
195,19,0,1,1,0,2,19,3,0,2,0.06,0,7,1,0,2,2,2.60869565217391,0,3.97826086956522,2,0,1.0,0,1,2
356,1,0,1,1,0,2,30,1,3,2,0.32,1,11,1,0,18,2,2.05882352941176,0,5.0,0,0,1.0,0,4,0
476,7.5,0,1,3,0,2,15,2,0,0,0.23,0,7,6,0,6,1,2.5,1,3.42857142857143,1,0,1.0,0,1,0
397,6,0,4,0,0,4,27,1,3,10,0.11,0,16,4,0,21,1,1.7573529411764701,1,7.4375,1,0,0.571428571428571,0,1,2
478,7.5,0,1,3,0,2,15,2,0,0,0.23,0,7,6,0,6,1,2.5,1,3.42857142857143,1,0,1.0,0,1,0
479,7.5,0,1,3,0,2,15,2,0,0,0.23,0,7,6,0,6,1,2.5,1,3.0,1,0,1.0,0,1,0
256,5,0,1,3,1,2,283,2,2,30,0.33,0,108,3,3,24,2,3.26666666666667,1,3.73148148148148,1,0,0.333333333333333,0,4,7
363,12,1,2,0,1,3,75,2,2,11,0.21,1,29,3,0,28,1,1.7573529411764701,1,6.72413793103448,1,0,1.0,0,3,2
456,1,0,3,0,0,3,32,6,6,1,0.13,0,20,6,3,4,1,6.08695652173913,2,3.78260869565217,2,0,0.5,2,1,0
37,13,1,2,11,1,2,261,16,17,0.5,0.32,0,98,3,4,30,2,3.43564356435644,0,3.92079207920792,0,0,0.875,0,2,2
845,40,0,1,16,0,2,38,1,0,0,0.09,0,39,6,0,35,3,4.59523809523809,2,6.80952380952381,1,0,0.333333333333333,0,1,0
364,18,1,2,6,0,3,77,16,0,4,0.09,1,57,3,2,10.5,3,4.03389830508475,0,6.74576271186441,0,0,0.407407407407407,1,4,6
467,11.0,0,1,3,7,2,5431,18,12,17,1.18,0,39,2,0,17.0,2,2.50670640834575,0,3.36512667660209,0,0,0.802325581395349,1,5,22
345,11.0,2,1,58,1,3,482,22,15.0,2.5,0.14,1,205,4,0,96,2,6.10091743119266,0,7.44495412844037,0,0,0.0,0,4,5
223,8.0,0,1,0,1,3,167,2,0.5,3,0.08,2,111,2,0,92,3,8.38260869565217,1,8.49565217391304,1,0,0.0,1,4,8
460,0,0,1,0,0,1,40,3,6,1,0.45,0,14,5,2,1,1,5.06666666666667,2,3.73333333333333,2,0,1.0,0,1,0
56,11.0,1,2,20,1,4,349,25,14.0,32,0.13,1,191,4,3,78,3,4.53030303030303,0,4.83333333333333,0,0,0.333333333333333,0,2,4
