,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
538,3,0,1,0,4,2,204,4,1,13,5,0,87,1,1,28,0.68,15.1034482758621,0,1,0,78,0.153846153846154,0,4,2
493,12,5,2,0,6,3,434,7,6,4,5,1,92,2,3,20,0.48,16.051724137931,0,1,0,137,0.227272727272727,1,4,2
291,7,0,1,0,6,2,650,18,23,8,5,0,96,4,43,0.81,2,2.93827160493827,0,0,0,952,0.315789473684211,0,5,35
468,0,0,1,0,3,1,82,1,1,1,1,0,87,5,4,2.73,1,5.0,0,2,0,56,0.428571428571429,0,1,2
563,0,0,1,0,9,2,113,3,1,0,6,1,93,2,0,22,0.81,3.44444444444444,0,1,0,25,0.461538461538462,0,4,2
584,0,0,2,0,5,3,49,1,0,2,3,1,30,2,3,9,0.48,4.6,3,2,0,51,0.375,0,3,1
7,1,0,1,0,7,2,133,2,8,1,0.22000000000000003,0,100,3,0,17,2,2.0,0,0,0,217,0.6875,0,2,2
185,1,0,1,1,6,2,114,1,9,0,6,1,96,3,9,15,0.73,2.69230769230769,1,0,0,47,0.3,0,3,1
474,0,0,1,0,7,2,33,1,0,0,1.0200000000000002,2,100,1,0,8,2,3.0,3,7,1,63,0.2,0,1,1
365,0,0,1,0,7,2,315,8,10,8,2,1,100,5,34,5,5,3.09090909090909,0,0,0,167,0.285714285714286,0,4,1.09
578,0,0,1,0,5,1,191,1,0,12,0.9700000000000003,0,93,1,0,5,2,4.85185185185185,1,1,0,8,0.333333333333333,0,2,1
610,10,1,1,2,8,2,610,1,6,12,8,0,94,1,1,37,1.09,8.31481481481481,0,0,0,242,0.375,3,3,1
569,3,1,3,0,11,6,192,1,3,4,0.41,4,79,1,2,28,2,5.76923076923077,2,1,0,76,0.263157894736842,0,3,0
802,0,0,17,1,12,26,43,1,0,0,2,9,0,1,0,1,0.35,16.0,16,6,5,13,0.5,0,2,0
416,1,1,1,0,6,2,162,2,10,4,0.17,0,95,4,238,11,2,3.25,0,1,0,255,0.285714285714286,0,4,0
1020,0,0,1,0,4,2,27,1,0,0,1,5,0,3,0,15,0.38,1.5,1,2,0,7,0.333333333333333,0,3,0
1168,1,0,1,0,4,1,88,2,2,1,2,1,86,5,0,9,1,1.46666666666667,1,1,0,10,0.4,0,1,0.43
1234,0,0,1,0,2,1,30,2,1,1,0.75,1,100,5,0,4,2,0.5,0,0,0,0,0.5,0,2,0
1236,2,1,1,0,3,1,105,8,3,2,36,2,100,2,0,2,2,1.61538461538462,0,0,0,7,0.4,0,5,0.42
742,9,6,1,15,3,2,307,11,0,12,0.36,0,82,2,7,7,2,3.28169014084507,0,0,0,119,0.266666666666667,0,2,6
279,0,0,1,0,7,2,227,2,8,3,0.6200000000000002,0,79,6,2,12,1,3.88,0,1,0,0,0.333333333333333,0,5,1
396,20,1,1,1,5,2,520,17,14,17,0.22000000000000003,1,100,6,10,5,3,3.32051282051282,0,0,0,442,0.454545454545455,0,3,3
534,2,0,1,0,5,2,495,6,0,16,0.22000000000000003,0,93,1,0,7,2,2.4,0,1,0,8,0.375,0,4,1
516,2,1,1,1,4,1,141,3,2,3,0.32000000000000006,0,92,1,2,7,3,2.73076923076923,0,0,0,52,0.333333333333333,0,3,0
588,0,0,1,0,6,4,80,1,2,1,2,1,0,3,0,5,0.83,10.0,4,3,0,5,0.2,0,2,1
187,7,0,1,0,4,2,323,11,4,13,0.22000000000000003,1,100,5,1,4,2,3.5,0,0,0,106,0.380952380952381,3,5,5
371,3,0,1,0,6,1,244,2,5,7,3,0,84,6,1,6,2,2.38888888888889,0,1,0,30,0.4,0,5,1.69
292,,,,,,,,,,,,,,,,,,,,,,,,,,
549,0,0,2,1,9,3,363,4,10,4,0.22000000000000003,1,92,1,1,7,3,3.3125,1,1,0,359,0.346153846153846,3,5,3
631,2,4,1,5,6,2,578,9,11,17,0.32000000000000006,0,100,1,1,7,2,5.75,0,0,0,470,0.485714285714286,4,3,7
264,,,,,,,,,,,,,,,,,,,,,,,,,,
809,9,0,1,0,7,2,509,9,2,1,0.22000000000000003,0,100,3,1,11,2,3.82539682539683,0,0,0,202,0.238095238095238,3,2,6
515,8,7,1,0,7,2,635,11,11,8,0.17,0,94,3,4,5,3,3.74285714285714,0,0,0,263,0.391304347826087,1,4,1
238,2,14,1,0,7,2,1660,14,41,15,0.27,0,100,2,34,5,3,10.3222222222222,0,0,0,1022,0.294117647058824,2,4,8
