,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
845,0.15000000000000002,0,1,0,1,0,1,0,0,1,0.41,1,0,4,0,8,1,3.33333333333333,0,3,1,1,0.03,0,2,1
838,0,0,1,0,0,0,2,0,0.4,14,9,1,0,4,0.31,9,1,4.0,1,2,1,0.235294117647059,5,0,3,1
852,0,0,1,0,0,0,3,2,2,12,3,1,75,22,9,0.15000000000000002,1,2.14285714285714,0,1,1,0.388888888888889,0.31,0,2,3
850,1,0,1,0,0,0,3,2,7,12,0.22,22,68,2,0,0.4,1,2.66666666666667,1,2,1,0.263157894736842,1,1,2,2
844,2,0,1,0,1,0,0,0,0,1,0.44,0,0,0.15000000000000002,9,8,1,3.33333333333333,0,3,1,0.0,2,0,3,1
80,2,1,1,6,0,3,0,2,24,9,0.36,0.4,81,2,2,11,1,8.78571428571429,2,1,1,1.11111111111111,9,0,3,0
82,0,0,1,0,0,1,1,1,0,0,0.51,1.0,0,1,0,18,2,3.0,3,9,16,6.0,3,0,2,0
831,6,0,1,7,0,2,3,0,35,53,0.63,1,87,2,3,8,2,2.78787878787879,0,0,1,0.519480519480519,0.15000000000000002,0,2,3
853,1,0,1,7,1,0,2,2,6,12,0.07,3,87,0.4,9,12,1,4.53333333333333,1,1,1,0.277777777777778,1,0,4,2
159,4,0,1,3,4,4,0.4,0,3,23,12,1,95,4,3,0.31,1,2.03703703703704,0,1,1,0.5,9,0,4,0
908,0.4,9,2,0,0,0,2,0,10,10,0.41,0,82,1,0,1,1,6.62962962962963,1,1,1,1.26666666666667,2,9,1,1
915,0,0,1,0,0,0,1,0,0,13,1.0,1,0,0.31,9,2,1,3.15384615384615,3,9,1,0.0,9,0,1,0
54,0,0,2,0,0,0,1,1,7,5,0.18,9,76,4,9,0.4,1,2.5,0,2,1,1.375,2,0,4,4
920,1,0,1,0,0,0,1,1,0,7,0.4,0,0,0.31,12,2,1,3.55555555555556,2,4,1,0.0,9,0,2,0
929,2,0,1,0,0,4,3,1,11,24,0.36,0,100,2,0,20,2,2.77777777777778,0,0,1,0.59375,0.4,0,2,4
916,0,0,1,0,0,3,1,0,0,22,0.18,0,0,9,0.4,7,1,2.86363636363636,0,5,1,0.0,1,1,1,1
854,11,0,1,0,1,3,2,0,8,7,0.2,0.15000000000000002,33,4,22,0,1,4.27777777777778,0,1,1,0.142857142857143,9,1,3,2
201,6,2,2,7,3,4,4,0,2,11,0.6,0,72,0.4,11,6,1,4.05263157894737,1,1,1,1.125,9,0,4,4
928,0,0,1,0,3,2,2,5,6,25,0.45,1,84,1.0,0,4,1,3.3,0,0,1,0.818181818181818,4,0,2,1
46,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,0,0,1,0,0,2,1,0,0,1,1.3,0.4,0,1,1,12,1,2.0,2,5,1,0.0,9,2,2,0
1040,0,0,1,0,0,2,1,3,0,1,0.53,0.4,0,1,12,9,1,3.0,1,1,1,1.5,3,0,1,1
204,10,1,1,2,4,1,2,1,4,4,0.53,1,78,4,0,10,2,3.375,0,0,1,2.0,0.4,0,2,0
914,1,0,1,6,0,1,3,25,23,7,12,0.4,93,4,9,2,1,5.36363636363636,1,1,1,0.405405405405405,0.31,0,1,2
1046,1,1,1,5,1,1,2,0.30000000000000004,7,36,3,1,100,2,0,0.4,1,3.37777777777778,0,0,1,0.5,9,0,2,0
196,7,5,1,3,2,1,34,4,36,88,0.13,0,85,4,1,10,2,3.58653846153846,0,0,1,0.352517985611511,0.30000000000000004,0,2,0
226,1,0,1,1,0,1,3,2,6,25,0.16,0,95,4,0,0.5,1,2.05555555555556,0,1,1,0.536585365853659,1,0,2,1
321,,,,,,,,,,,,,,,,,,,,,,,,,,
